firstname,lastname,gender,dob,phoneno,mailid,username
srawan,meesala,male,3051998,9874512634,srawan@gmail.com,srawan_mans
charan,mck,male,8091984,8974125635,charanmck@gmail.com,NARUTO
kovid,ms,male,11121980,9701552653,kovidmsk@gmail.com,KOVID
drushina,datta,male,13061989,7812549637,drushinadd@gmail.com,DATTA
sumanth,reddy,male,5041988,9685741238,sumanth22@gmail.com,sum_anthem
raghav,rathod,male,15041990,8925746314,raghavrathod@gmail.com,raghava123
sunny,reddy,male,12011979,6300154789,sunnyreddy2@gmail.com,sunny_plot
johny,depp,male,23081988,7945812396,deppjd@gmail.com,johny_science
gorrey,pond,male,7071978,8912647539,pond653@gmail.com,gorrey_999
rupika,sen,female,3111983,8974512630,rupikasen@gmail.com,rupika_beauty
radhika,shetty,female,6091990,6974851032,radhika874@gmail.com,radhika_cuty
lakshman,kumar,male,9031988,9364521708,lakshman99@gmail.com,lakshman_ram
sita,gita,female,22121990,9393487144,sitagita@gmail.com,sita_gita
rama,krishna,male,30061982,7632899941,ramark@gmail.com,rama_mama
krishna,rao,male,20051986,7514236894,krishna65@gmail.com,krishna_leela
raja,reddy,male,30121980,8854671239,rajarr23@gmail.com,raja_king
swapna,kumari,female,13021989,9412576380,swapna08@gmail.com,swapna86
geetika,reddy,female,12121986,9000157486,geethu67@gmail.com,gita190
swathi,naidu,female,3061978,9294929415,swathi682@gmail.com,swath1922
mounika,pachalla,female,19101991,7379737145,mouni143@gmail.com,mouni143
vivek,nelapati,male,1121990,8615447815,viveknv3@gmail.com,vivek341
sushanth,reddy,male,8081988,9614327509,sushi452@gmail.com,sushanth_123
karan,johar,male,11041982,8815977164,karankj65@gmail.com,karan_johar
sruthi,reddy,female,2051989,9826547135,sruthi@gmail.com,sruthi_098
vamsi,srinivas,male,27081992,6918181825,srinivasvamsi@gmail.com,srinivasvamsi
vinay,varma,male,7081987,6268624951,vinayvv288@gmail.com,vinayisahero
sachin,tendulkar,male,14121985,7914635781,sachinjod@gmail.com,sachin_ias
raghav,goku,male,25121990,8285491637,gokuraghu@gmail.com,raghav_goku
bharghav,ram,male,24111980,9870615042,ram1893@gmail.com,bharghav_1504
dhanush,gupta,male,4041979,9129456871,dhanushdg@gmail.com,dhanush245
pooja,hegde,female,3061987,9397154268,pj1987@gmail.com,pooja990
roja,selvamani,female,2101986,8974305610,rojask@gmail.com,roja140
thief,pk,male,17091975,7894571546,catchme@gmail.com,stealingthisapp
hacker,bot,male,14021990,9440959617,stopme12@gmail.com,hackingthisapp
prasad,sankar,male,18061983,9849775162,prasad099@gmail.com,prasadam420
surya,kumar,male,15071990,8688084571,sky156@gmail.com,surya_singam
jin,morijin,male,12121994,8970154863,jinjin2m@gmail.com,jin9999
david,warner,male,15011984,9398158624,warnerdw@gmail.com,SLAYER198
