firstname,lastname,username,password
srawan,meesala,srawan_mans,88989
charan,mck,NARUTO,36841
kovid,ms,KOVID,25755
drushina,datta,DATTA,12515
sumanth,reddy,sum_anthem,58685
raghav,rathod,raghava123,47658
sunny,reddy,sunny_plot,14755
johny,depp,johny_science,46821
gorrey,pond,gorrey_999,33363
rupika,sen,rupika_beauty,69696
radhika,shetty,radhika_cuty,12345
lakshman,kumar,lakshman_ram,98745
sita,gita,sita_gita,96857
rama,krishna,rama_mama,36745
krishna,rao,krishna_leela,25891
raja,reddy,raja_king,74630
swapna,kumari,swapna86,89402
geetika,reddy,gita190,78459
swathi,naidu,swath1922,11111
mounika,pachalla,mouni143,44475
vivek,nelapati,vivek341,12232
sushanth,reddy,sushanth_123,26539
karan,johar,karan_johar,78878
sruthi,reddy,sruthi_098,63784
vamsi,srinivas,srinivasvamsi,30001
vinay,varma,vinayisahero,14341
sachin,tendulkar,sachin_ias,10098
raghav,goku,raghav_goku,29935
bharghav,ram,bharghav_1504,97015
dhanush,gupta,dhanush245,56265
pooja,hegde,pooja990,98486
roja,selvamani,roja140,54321
thief,pk,stealingthisapp,79714
hacker,bot,hackingthisapp,45748
prasad,sankar,prasadam420,55555
surya,kumar,surya_singam,20033
jin,morijin,jin9999,28282
david,warner,SLAYER198,75363
